tzid,windowsName,windowsId
Etc/GMT+12,International Date Line West,Dateline Standard Time
Etc/GMT+11,Coordinated Universal Time-11,UTC-11
Pacific/Pago_Pago,Coordinated Universal Time-11,UTC-11
Pacific/Niue,Coordinated Universal Time-11,UTC-11
Pacific/Midway,Coordinated Universal Time-11,UTC-11
America/Adak,Aleutian Islands,Aleutian Standard Time
Pacific/Honolulu,Hawaii,Hawaiian Standard Time
Pacific/Rarotonga,Hawaii,Hawaiian Standard Time
Pacific/Tahiti,Hawaii,Hawaiian Standard Time
Pacific/Johnston,Hawaii,Hawaiian Standard Time
Etc/GMT+10,Hawaii,Hawaiian Standard Time
Pacific/Marquesas,Marquesas Islands,Marquesas Standard Time
America/Anchorage,Alaska,Alaskan Standard Time
America/Anchorage America/Juneau America/Metlakatla America/Nome America/Sitka America/Yakutat,Alaska,Alaskan Standard Time
Etc/GMT+9,Coordinated Universal Time-09,UTC-09
Pacific/Gambier,Coordinated Universal Time-09,UTC-09
America/Tijuana,Baja California,Pacific Standard Time (Mexico)
America/Tijuana America/Santa_Isabel,Baja California,Pacific Standard Time (Mexico)
Etc/GMT+8,Coordinated Universal Time-08,UTC-08
Pacific/Pitcairn,Coordinated Universal Time-08,UTC-08
America/Los_Angeles,Pacific Time (US & Canada),Pacific Standard Time
America/Vancouver America/Dawson America/Whitehorse,Pacific Time (US & Canada),Pacific Standard Time
PST8PDT,Pacific Time (US & Canada),Pacific Standard Time
America/Phoenix,Arizona,US Mountain Standard Time
America/Dawson_Creek America/Creston America/Fort_Nelson,Arizona,US Mountain Standard Time
America/Hermosillo,Arizona,US Mountain Standard Time
Etc/GMT+7,Arizona,US Mountain Standard Time
America/Chihuahua,"Chihuahua, La Paz, Mazatlan",Mountain Standard Time (Mexico)
America/Chihuahua America/Mazatlan,"Chihuahua, La Paz, Mazatlan",Mountain Standard Time (Mexico)
America/Denver,Mountain Time (US & Canada),Mountain Standard Time
America/Edmonton America/Cambridge_Bay America/Inuvik America/Yellowknife,Mountain Time (US & Canada),Mountain Standard Time
America/Ojinaga,Mountain Time (US & Canada),Mountain Standard Time
America/Denver America/Boise,Mountain Time (US & Canada),Mountain Standard Time
MST7MDT,Mountain Time (US & Canada),Mountain Standard Time
America/Guatemala,Central America,Central America Standard Time
America/Belize,Central America,Central America Standard Time
America/Costa_Rica,Central America,Central America Standard Time
Pacific/Galapagos,Central America,Central America Standard Time
America/Tegucigalpa,Central America,Central America Standard Time
America/Managua,Central America,Central America Standard Time
America/El_Salvador,Central America,Central America Standard Time
Etc/GMT+6,Central America,Central America Standard Time
America/Chicago,Central Time (US & Canada),Central Standard Time
America/Winnipeg America/Rainy_River America/Rankin_Inlet America/Resolute,Central Time (US & Canada),Central Standard Time
America/Matamoros,Central Time (US & Canada),Central Standard Time
America/Chicago America/Indiana/Knox America/Indiana/Tell_City America/Menominee America/North_Dakota/Beulah America/North_Dakota/Center America/North_Dakota/New_Salem,Central Time (US & Canada),Central Standard Time
CST6CDT,Central Time (US & Canada),Central Standard Time
Pacific/Easter,Easter Island,Easter Island Standard Time
America/Mexico_City,"Guadalajara, Mexico City, Monterrey",Central Standard Time (Mexico)
America/Mexico_City America/Bahia_Banderas America/Merida America/Monterrey,"Guadalajara, Mexico City, Monterrey",Central Standard Time (Mexico)
America/Regina,Saskatchewan,Canada Central Standard Time
America/Regina America/Swift_Current,Saskatchewan,Canada Central Standard Time
